sp,Growth form,Dispersal unit,Dispersal adaptation,Notes on propagule and dispersal in NZ,Notes on propagule and dispersal overseas,Primary mode,other mode,third mode,,mode
Gahnia procera,herb,floret,,"""   ""","""   """,wind,granivory,attachment,,wind
Gahnia rigida,herb,floret,,"""   ""","""   """,wind,granivory,attachment,,wind
Gahnia setifolia,herb,floret,,"""   ""","""   """,wind,granivory,attachment,,wind
Gahnia xanthocarpa,herb,floret,"""   ""","""   """,,wind,granivory,attachment,,wind
Gaimardia setacea,herb,fruit,,"fruit faintly reticulate. Copious starch endosperm,",,water,capsule,,,water
Galium  ,herb,mericarp,,testa papillate to colliculate,"2000, Melcher et al. 2000,",attachment,wind,foliage as,,attach
Galium  ,herb,mericarp,,"""   ""","""   """,attachment,wind,foliage as,,attach
Galium perpusillum,herb,mericarp,,"""   ""","""   """,attachment,wind,,,attach
Galium propinquum,herb,mericarp,,"""   ""","""   """,attachment,wind,foliage as,,attach
Galium trilobum,herb,mericarp,,"""   ""","""   """,attachment,wind,foliage as,,attach
Gastrodia  ,herb,seed,minute,,,wind,,,,wind
Gastrodia cunninghamii,herb,seed,minute,,,wind,,,,wind
Gastrodia minor,herb,seed,minute,,,wind,,,,wind
Gastrodia sesamoides agg.,herb,seed,minute,,,wind,,,,wind
Gaultheria antipoda,shrub,berry,fleshy,"""   """,,frugivory,invertebrate,,,endo
Gaultheria colensoi,shrub,capsule,dry,testa reticulate. See Burrows ,,wind,,,,wind
Gaultheria crassa,shrub,capsule,dry,"""   """,,wind,,,,wind
Gaultheria depressa,shrub,berry,fleshy,"calyx fleshy, testa not reticulate. Frugivory ",,frugivory,invertebrate,,,endo
Gaultheria macrostigma,shrub,berry,fleshy,"""   """,,frugivory,invertebrate,,,endo
Gaultheria nubicola,shrub,berry,fleshy,"""   """,,frugivory,invertebrate,,,endo
Gaultheria oppositifolia,shrub,capsule,dry,testa reticulate. See Burrows ,,wind,,,,wind
Gaultheria paniculata,shrub,capsule,dry,"""   """,,wind,,,,wind
Gaultheria parvula,shrub,berry,fleshy,"calyx fleshy, testa not reticulate. Frugivory ",,frugivory,invertebrate,,,endo
Gaultheria rupestris,shrub,capsule,dry,testa reticulate. See Burrows ,,wind,,,,wind
Geniostoma ligustrifolium,shrub,seed,arillate,"""   """,,frugivory,,,,endo
Gentianella ,herb,seed,censer,see Glenny ,Benson and McDougall,ballistic,wind,water,,ballistic
Gentianella ,herb,seed,censer,"""   ""","""   """,ballistic,wind,water,,ballistic
Gentianella ,herb,seed,censer,"""   ""","""   """,ballistic,wind,water,,ballistic
Gentianella amabilis,herb,seed,censer,"""   ""","""   """,ballistic,wind,water,,ballistic
Gentianella angustifolia,herb,seed,censer,"""   ""","""   """,ballistic,wind,water,,ballistic
Gentianella antarctica,herb,seed,censer,"""   ""","""   """,ballistic,wind,water,,ballistic
Gentianella antipoda,herb,seed,censer,"""   ""","""   """,ballistic,wind,water,,ballistic
Gentianella astonii,herb,seed,censer,"""   ""","""   """,ballistic,wind,water,,ballistic
Gentianella bellidifolia,herb,seed,censer,"""   ""","""   """,ballistic,wind,water,,ballistic
Gentianella calcis,herb,seed,censer,"""   ""","""   """,ballistic,wind,water,,ballistic
Gentianella cerina,herb,seed,censer,"""   ""","""   """,ballistic,wind,water,,ballistic
Gentianella chathamica,herb,seed,censer,"""   ""","""   """,ballistic,wind,water,,ballistic
Gentianella concinna,herb,seed,censer,"""   ""","""   """,ballistic,wind,water,,ballistic
Gentianella corymbifera,herb,seed,censer,"""   ""","""   """,ballistic,wind,water,,ballistic
Gentianella decumbens,herb,seed,censer,"""   ""","""   """,ballistic,wind,water,,ballistic
Gentianella divisa,herb,seed,censer,"""   ""","""   """,ballistic,wind,water,,ballistic
Gentianella filipes,herb,seed,censer,"""   ""","""   """,ballistic,wind,water,,ballistic
Gentianella gibbsii,herb,seed,censer,"""   ""","""   """,ballistic,wind,water,,ballistic
Gentianella grisebachii,herb,seed,censer,"""   ""","""   """,ballistic,wind,water,,ballistic
Gentianella impressinervia,herb,seed,censer,"""   ""","""   """,ballistic,wind,water,,ballistic
Gentianella lilliputiana,herb,seed,censer,"""   ""","""   """,ballistic,wind,water,,ballistic
Gentianella lineata,herb,seed,censer,"""   ""","""   """,ballistic,wind,water,,ballistic
Gentianella luteoalba,herb,seed,censer,"""   ""","""   """,ballistic,wind,water,,ballistic
Gentianella magnifica,herb,seed,censer,"""   ""","""   """,ballistic,wind,water,,ballistic
Gentianella montana,herb,seed,censer,"""   ""","""   """,ballistic,wind,water,,ballistic
Gentianella patula,herb,seed,censer,"""   ""","""   """,ballistic,wind,water,,ballistic
Gentianella saxosa,herb,seed,censer,"""   ""","""   """,ballistic,wind,water,,ballistic
Gentianella scopulorum,herb,seed,censer,"""   ""","""   """,ballistic,wind,water,,ballistic
Gentianella serotina,herb,seed,censer,"""   ""","""   """,ballistic,wind,water,,ballistic
Gentianella spenceri,herb,seed,censer,"""   ""","""   """,ballistic,wind,water,,ballistic
Gentianella stellata,herb,seed,censer,"""   ""","""   """,ballistic,wind,water,,ballistic
Gentianella tenuifolia,herb,seed,censer,"""   ""","""   """,ballistic,wind,water,,ballistic
Gentianella vernicosa,herb,seed,censer,"""   ""","""   """,ballistic,wind,water,,ballistic
Geranium  ,herb,seed,explosive,"""   ""","""   """,ballistic,wind,attachment,,ballistic
Geranium  ,herb,seed,explosive,"""   ""","""   """,ballistic,wind,attachment,,ballistic
Geranium  ,herb,seed,explosive,"""   ""","""   """,ballistic,wind,attachment,,ballistic
Geranium  ,herb,seed,explosive,"""   ""","""   """,ballistic,wind,attachment,,ballistic
Geranium gardneri,herb,seed,explosive,"""   ""","""   """,ballistic,wind,attachment,,ballistic
Geranium homeanum,herb,seed,explosive,"""   ""","""   """,ballistic,wind,attachment,,ballistic
Geranium microphyllum,herb,seed,explosive,"""   ""","""   """,ballistic,wind,attachment,,ballistic
Geranium potentilloides,herb,seed,explosive,"""   ""","""   """,ballistic,wind,attachment,,ballistic
Geranium retrorsum,herb,seed,explosive,"""   ""","""   """,ballistic,wind,attachment,,ballistic
Geranium sessiliflorum,herb,seed,explosive,"""   ""","""   """,ballistic,wind,attachment,,ballistic
Geranium solanderi,herb,seed,explosive,"""   ""","""   """,ballistic,wind,attachment,,ballistic
Geranium traversii,herb,seed,explosive,"""   ""","""   """,ballistic,wind,attachment,,ballistic
Geum  ,herb,achene,pappate,"see Molloy and Webb , Spence ",wind ,wind,,,,wind
Geum albiflorum,herb,achene,pappate,"""   ""","""   """,wind,,,,wind
Geum cockaynei,herb,achene,pappate,"""   ""","""   """,wind,,,,wind
Geum divergens,herb,achene,pappate,"""   ""","""   """,wind,,,,wind
Geum leiospermum,herb,achene,hooked,"""   "" , pappus absent","""   """,attachment,,,,attach
Geum parviflorum agg.,herb,achene,pappate,"""   ""","""   """,wind,,,,wind
Geum pusillum,herb,achene,none,"""   "", pappus absent","""   """,attachment,,,,attach
Geum uniflorum,herb,achene,pappate,"""   ""","""   """,wind,,,,wind
Gingidia  ,herb,mericarp,winged,"""   """,,wind,,,,wind
Gingidia  ,herb,mericarp,winged,"""   """,,wind,,,,wind
Gingidia  ,herb,mericarp,winged,ribs winged to greater or lesser extent ,,wind,,,,wind
Gingidia  ,herb,mericarp,winged,"""   """,,wind,,,,wind
Gingidia  ,herb,mericarp,winged,"""   """,,wind,,,,wind
Gingidia  ,herb,mericarp,winged,"""   """,,wind,,,,wind
Gingidia  ,herb,mericarp,winged,"""   """,,wind,,,,wind
Gingidia baxteriae,herb,mericarp,winged,"""   """,,wind,,,,wind
Gingidia decipiens,herb,mericarp,winged,"""   """,,wind,,,,wind
Gingidia enysii,herb,mericarp,winged,"""   """,,wind,,,,wind
Gingidia flabellata,herb,mericarp,winged,"""   """,,wind,,,,wind
Gingidia grisea,herb,mericarp,winged,"""   """,,wind,,,,wind
Gingidia montana,herb,mericarp,winged,"""   """,,wind,,,,wind
Gingidia trifoliolata,herb,mericarp,winged,"""   """,,wind,,,,wind
Gleichenia dicarpa,fern,spore,minute,"""   "", wind ",,wind,,,,wind
Gleichenia microphylla,fern,spore,minute,"""   """,,wind,,,,wind
Glossostigma cleistanthum,herb,seed,,testa reticulate,"water, wind and ballistic",water,wind,ballistic,,water
Glossostigma diandrum,herb,seed,,"""   ""","""   """,water,wind,ballistic,,water
Glossostigma elatinoides,herb,seed,,"""   ""","""   """,water,wind,ballistic,,water
Gonocarpus aggregatus,herb,fruit,,"fruit dry, ribbed. See Orchard ",,wind,,,,wind
Gonocarpus incanus,herb,fruit,,"""   """,,wind,,,,wind
Gonocarpus micranthus,herb,fruit,,"""   """,,wind,,,,wind
Gonocarpus montanus,herb,fruit,,"""   """,,wind,,,,wind
Grammitis  ,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Grammitis  ,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Grammitis  ,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Grammitis billardierei,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Grammitis ciliata,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Grammitis givenii,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Grammitis gunnii,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Grammitis magellanica,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Grammitis patagonica,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Grammitis poeppigiana,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Grammitis pseudociliata,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Grammitis rawlingsii,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Grammitis rigida,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Gratiola concinna,herb,seed,mucilage,testa reticulate. See de Lange ,wind ,water,attachment,wind,,water
Gratiola pedunculata,herb,seed,mucilage,"""   ""","""   """,water,attachment,wind,,water
Gratiola pubescens,herb,seed,mucilage,"""   ""","""   """,water,attachment,wind,,water
Gratiola sexdentata,herb,seed,mucilage,"""   ""","""   """,water,attachment,wind,,water
Griselinia littoralis,tree,berry,fleshy,fleshy,frugivory ,frugivory,,,,endo
Griselinia lucida,tree,berry,fleshy,"""   ""","""   """,frugivory,,,,endo
Gunnera densiflora,herb,drupe,fleshy,"flesh of G. monoica oily, poss. ant dispersed","Armesto and Rozzi 1989,",frugivory,ant,,,endo
Gunnera dentata,herb,drupe,fleshy,"""   ""","""   """,frugivory,ant,,,endo
Gunnera hamiltonii,herb,drupe,fleshy,"""   ""","""   """,frugivory,ant,,,endo
Gunnera monoica,herb,drupe,fleshy,"""   ""","""   """,frugivory,ant,,,endo
Gunnera prorepens,herb,drupe,fleshy,"""   ""","""   """,frugivory,ant,,,endo
Haastia  ,herb,cypsela,pappate,pappus caducous. See Spence ,,wind,,,,wind
Haastia  ,herb,cypsela,pappate,"""   """,,wind,,,,wind
Haastia pulvinaris,herb,cypsela,pappate,"""   """,,wind,,,,wind
Haastia recurva,herb,cypsela,pappate,"""   """,,wind,,,,wind
Haastia sinclairii,herb,cypsela,pappate,"""   """,,wind,,,,wind
Halocarpus bidwillii,tree,seed,arillate,epimatium swollen. See Quinn ,,frugivory,,,,endo
Halocarpus biformis,shrub,seed,arillate,"""   """,,frugivory,,,,endo
Halocarpus kirkii,tree,seed,arillate,"""   """,,frugivory,,,,endo
Haloragis erecta,herb,fruit,,fruit winged . See Orchard ,,wind,,,,wind
Hebe  ,shrub,seed,"""   """,,,wind,,,,wind
Hebe  ,shrub,seed,"""   """,,,wind,,,,wind
Hebe  ,shrub,seed,"""   """,,,wind,,,,wind
Hebe  ,shrub,seed,"""   """,,,wind,,,,wind
Hebe  ,shrub,seed,"""   """,,,wind,,,,wind
Hebe  ,shrub,seed,"""   """,,,wind,,,,wind
Hebe  ,shrub,seed,"""   """,,,wind,,,,wind
Hebe acutiflora,shrub,seed,"""   """,,,wind,,,,wind
Hebe adamsii,shrub,seed,"""   """,,,wind,,,,wind
Hebe albicans,shrub,seed,"""   """,,,wind,,,,wind
Hebe amplexicaulis,shrub,seed,"""   """,,,wind,,,,wind
Hebe angustissima,shrub,seed,"""   """,,,wind,,,,wind
Hebe annulata,shrub,seed,"""   """,,,wind,,,,wind
Hebe anomala,shrub,seed,"""   """,,,wind,,,,wind
Hebe arganthera,shrub,seed,"""   """,,,wind,,,,wind
Hebe armstrongii,shrub,seed,"""   """,,,wind,,,,wind
Hebe barkeri,tree,seed,"""   """,,,wind,,,,wind
Hebe benthamii,shrub,seed,"""   """,,,wind,,,,wind
Hebe biggarii,shrub,seed,"""   """,,,wind,,,,wind
Hebe bishopiana,shrub,seed,"""   """,,,wind,,,,wind
Hebe bollonsii,shrub,seed,"""   """,,,wind,,,,wind
Hebe brachysiphon,shrub,seed,"""   """,,,wind,,,,wind
Hebe brevifolia,shrub,seed,"""   """,,,wind,,,,wind
Hebe breviracemosa,shrub,seed,"""   """,,,wind,,,,wind
Hebe brockiei,shrub,seed,"""   """,,,wind,,,,wind
Hebe buchananii,shrub,seed,"""   """,,,wind,,,,wind
Hebe calcicola,shrub,seed,"""   """,,,wind,,,,wind
Hebe canterburiensis,shrub,seed,"""   """,,,wind,,,,wind
Hebe carnosula,shrub,seed,"""   """,,,wind,,,,wind
Hebe chathamica,shrub,seed,"""   """,,,wind,,,,wind
Hebe cockayneana,shrub,seed,"""   """,,,wind,,,,wind
Hebe colensoi,shrub,seed,"""   """,,,wind,,,,wind
Hebe corriganii,shrub,seed,"""   """,,,wind,,,,wind
Hebe crawii,shrub,seed,"""   """,,,wind,,,,wind
Hebe crenulata,shrub,seed,"""   """,,,wind,,,,wind
Hebe cryptomorpha,shrub,seed,"""   """,,,wind,,,,wind
Hebe decumbens,shrub,seed,"""   """,,,wind,,,,wind
Hebe dieffenbachii,shrub,seed,"""   """,,,wind,,,,wind
Hebe dilatata,shrub,seed,"""   """,,,wind,,,,wind
Hebe diosmifolia,shrub,seed,"""   """,,,wind,,,,wind
Hebe divaricata,shrub,seed,"""   """,,,wind,,,,wind
Hebe elliptica,shrub,seed,"""   """,,,wind,,,,wind
Hebe epacridea,shrub,inflorescence,,"""   "", inflorescence detaches ",,mobile,,,,unassisted
Hebe evenosa,shrub,seed,"""   """,,,wind,,,,wind
Hebe flavida,shrub,seed,"""   """,,,wind,,,,wind
Hebe gibbsii,shrub,seed,"""   """,,,wind,,,,wind
Hebe glaucophylla,shrub,seed,"""   """,,,wind,,,,wind
Hebe gracillima,shrub,seed,"""","""",,wind,,,,wind
Hebe haastii,shrub,seed,"""","""",,wind,,,,wind
Hebe hectorii,shrub,seed,"""","""",,wind,,,,wind
Hebe imbricata,shrub,seed,"""","""",,wind,,,,wind
Hebe insularis,shrub,seed,"""","""",,wind,,,,wind
Hebe leiophylla,shrub,seed,"""","""",,wind,,,,wind
Hebe ligustrifolia,shrub,seed,"""","""",,wind,,,,wind
Hebe lycopodioides,shrub,seed,"""","""",,wind,,,,wind
Hebe macrantha,shrub,seed,"""","""",,wind,,,,wind
Hebe macrocalyx,shrub,seed,"""","""",,wind,,,,wind
Hebe macrocarpa,shrub,seed,"""","""",,wind,,,,wind
Hebe masoniae,shrub,seed,"""","""",,wind,,,,wind
Hebe matthewsii,shrub,seed,"""","""",,wind,,,,wind
Hebe mooreae,shrub,seed,"""","""",,wind,,,,wind
Hebe murrellii,shrub,seed,"""","""",,wind,,,,wind
Hebe obtusata,shrub,seed,"""","""",,wind,,,,wind
Hebe ochracea,shrub,seed,"""","""",,wind,,,,wind
Hebe odora,shrub,seed,"""","""",,wind,,,,wind
Hebe paludosa,shrub,seed,"""","""",,wind,,,,wind
Hebe pareora,shrub,seed,"""","""",,wind,,,,wind
Hebe parviflora,shrub,seed,"""","""",,wind,,,,wind
Hebe pauciflora,shrub,seed,"""","""",,wind,,,,wind
Hebe pauciramosa,shrub,seed,"""","""",,wind,,,,wind
Hebe perbella,shrub,seed,"""","""",,wind,,,,wind
Hebe petriei,shrub,seed,"""","""",,wind,,,,wind
Hebe pimeleoides,shrub,seed,"""","""",,wind,,,,wind
Hebe pinguifolia,shrub,seed,"""","""",,wind,,,,wind
Hebe propinqua,shrub,seed,"""","""",,wind,,,,wind
Hebe pubescens,shrub,seed,"""","""",,wind,,,,wind
Hebe rakaiensis,shrub,seed,"""","""",,wind,,,,wind
Hebe ramosissima,shrub,seed,"""","""",,wind,,,,wind
Hebe rigidula,shrub,seed,"""","""",,wind,,,,wind
Hebe rupicola,shrub,seed,"""","""",,wind,,,,wind
Hebe salicifolia,shrub,seed,"""","""",,wind,,,,wind
Hebe salicornioides,shrub,seed,"""","""",,wind,,,,wind
Hebe scopulorum,shrub,seed,,,"""   """,wind,,,,wind
Hebe societatus,shrub,seed,,,"""   """,wind,,,,wind
Hebe speciosa,shrub,seed,,,"""   """,wind,,,,wind
Hebe stenophylla,shrub,seed,,,"""   """,wind,,,,wind
Hebe stricta,shrub,seed,,,"""   """,wind,,,,wind
Hebe strictissima,shrub,seed,,,"""   """,wind,,,,wind
Hebe subalpina,shrub,seed,,,"""   """,wind,,,,wind
Hebe tairawhiti,shrub,seed,,,"""   """,wind,,,,wind
Hebe tetragona,shrub,seed,,,"""   """,wind,,,,wind
Hebe topiaria,shrub,seed,,,"""   """,wind,,,,wind
Hebe townsonii,shrub,seed,,,"""   """,wind,,,,wind
Hebe traversii,shrub,seed,,,"""   """,wind,,,,wind
Hebe treadwellii,shrub,seed,,,"""   """,wind,,,,wind
Hebe truncatula,shrub,seed,,,"""   """,wind,,,,wind
Hebe urvilleana,shrub,seed,,,"""   """,wind,,,,wind
Hebe venustula,shrub,seed,,,"""   """,wind,,,,wind
Hebe vernicosa,shrub,seed,,,"""   """,wind,,,,wind
Hebejeebie birleyi,herb,seed,,,"hygrochastic, indicating splash-cup ",wind,water,,,wind
Hebejeebie densifolia,herb,seed,,,"""   """,ballistic,wind,,water,ballistic
Hebejeebie trifida,herb,seed,,,"""   """,wind,water,,,wind
Hectorella caespitosa,herb,capsule,mucilage,style base may be persistent,,attachment,wind,invertebrate,,attach
Hedycarya arborea,tree,drupe,fleshy,,,frugivory,,,,endo
Helichrysum  ,shrub,achene,pappate,,wind ,wind,,,,wind
Helichrysum  ,shrub,achene,pappate,"""   ""","""   """,wind,,,,wind
Helichrysum coralloides,shrub,achene,pappate,"""   ""","""   """,wind,,,,wind
Helichrysum depressum,shrub,achene,pappate,"""   ""","""   """,wind,,,,wind
Helichrysum dimorphum,shrub,achene,pappate,"""   ""","""   """,wind,,,,wind
Helichrysum filicaule,shrub,cypsela,pappate,"""   ""","""   """,wind,,,,wind
Helichrysum intermedium,shrub,achene,pappate,"""   ""","""   """,wind,,,,wind
Helichrysum lanceolatum,shrub,achene,pappate,"""   ""","""   """,wind,,,,wind
Helichrysum parvifolium,shrub,achene,pappate,"""   ""","""   """,wind,,,,wind
Helichrysum plumeum,shrub,achene,pappate,"""   ""","""   """,wind,,,,wind
Heliohebe acuta,shrub,seed,winged,,Wind dispersed by shaking inflorescence ,wind,ballistic,,,wind
Heliohebe hulkeana,shrub,seed,winged,,"""   """,wind,ballistic,,,wind
Heliohebe lavaudiana,shrub,seed,winged,,"""   """,wind,ballistic,,,wind
Heliohebe pentasepala,shrub,seed,winged,,"""   """,wind,ballistic,,,wind
Heliohebe raoulii,shrub,seed,winged,,"""   """,wind,ballistic,,,wind
Herpolirion novae-zelandiae,herb,seed,flattened,seed flattened,,wind,capsule,,,wind
Hibiscus diversifolius,shrub,seed,,H. richardii seed papillate,", granivory",wind,granivory,,,wind
Hibiscus richardii,herb,seed,,"""   ""","""   """,wind,granivory,,,wind
Hierochloe brunonis,herb,floret,,,"lemma short awned, ciliate. Wind ",wind,water,,,wind
Hierochloe cuprea,herb,floret,,,"""   """,wind,water,,,wind
Hierochloe equiseta,herb,floret,,,"""   """,wind,water,,,wind
Hierochloe fusca,herb,floret,,,"""   """,wind,water,,,wind
Hierochloe novae-zelandiae,herb,floret,,,"""   """,wind,water,,,wind
Hierochloe recurvata,herb,floret,,,"""   """,wind,water,,,wind
Hierochloe redolens,herb,floret,,,"""   """,wind,water,,,wind
Histiopteris incisa,fern,spore,minute,"""   "", wind ",wind ,wind,,,,wind
Hoheria angustifolia,tree,mericarp,winged,"""   """,,wind,,,,wind
Hoheria equitum,tree,mericarp,winged,"""   """,,wind,,,,wind
Hoheria glabrata,tree,mericarp,winged,"""   """,,wind,,,,wind
Hoheria lyallii,tree,mericarp,winged,"""   """,,wind,,,,wind
Hoheria populnea,tree,mericarp,winged,"""   """,,wind,,,,wind
Homalanthus polyandrus,tree,seed,arillate,see Sykes ,frugivory ,frugivory,,,,endo
Huperzia australiana,fern ally,spore,minute,"""   """,wind ,wind,,,,wind
Huperzia varia,fern ally,spore,minute,"""   ""","""   """,wind,,,,wind
Hydrocotyle ,herb,mericarp,,"heteromeria; one mericarp clothed in bristly hairs, the",,water,wind,,,water
Hydrocotyle  ,herb,mericarp,,"""   ""","""   """,water,wind,,,water
Hydrocotyle  ,herb,mericarp,,"""   ""","""   """,water,wind,,,water
Hydrocotyle  ,herb,mericarp,,"""   ""","""   """,water,wind,,,water
